Size,TimeMicros,ArrayType,Threshold
28400,19792,0,0
28500,19792,0,0
28600,20137,0,0
28700,19847,0,0
28800,20393,0,0
28900,20188,0,0
29000,20025,0,0
29100,20525,0,0
29200,20857,0,0
29300,21190,0,0
29400,22627,0,0
29500,22697,0,0
29600,21171,0,0
29700,22148,0,0
29800,22269,0,0
29900,21617,0,0
30000,22292,0,0
30100,22100,0,0
30200,22109,0,0
30300,22355,0,0
30400,22761,0,0
30500,22780,0,0
30600,23022,0,0
30700,22315,0,0
30800,22642,0,0
30900,22601,0,0
31000,22809,0,0
31100,23593,0,0
31200,22786,0,0
31300,23828,0,0
31400,22930,0,0
31500,23090,0,0
31600,23183,0,0
31700,23460,0,0
31800,23901,0,0
31900,23404,0,0
32000,23813,0,0
32100,25609,0,0
32200,23601,0,0
32300,24231,0,0
32400,23672,0,0
32500,24215,0,0
32600,24705,0,0
32700,24509,0,0
32800,24407,0,0
32900,24326,0,0
33000,24313,0,0
33100,24484,0,0
33200,24402,0,0
33300,25181,0,0
33400,25095,0,0
33500,24782,0,0
33600,24503,0,0
33700,25105,0,0
33800,24271,0,0
33900,25231,0,0
34000,25410,0,0
34100,25784,0,0
34200,25357,0,0
34300,25757,0,0
34400,26588,0,0
34500,26374,0,0
34600,26343,0,0
34700,25436,0,0
34800,26277,0,0
34900,26169,0,0
35000,25690,0,0
35100,26599,0,0
35200,26517,0,0
35300,26244,0,0
35400,28881,0,0
35500,26058,0,0
35600,26960,0,0
35700,25977,0,0
35800,26354,0,0
35900,26902,0,0
36000,26826,0,0
36100,26315,0,0
36200,26678,0,0
36300,27482,0,0
36400,26855,0,0
36500,26807,0,0
36600,27018,0,0
36700,27714,0,0
36800,28305,0,0
36900,29379,0,0
37000,28382,0,0
37100,27875,0,0
37200,27824,0,0
37300,27173,0,0
37400,28165,0,0
37500,27869,0,0
37600,28792,0,0
37700,27840,0,0
37800,27856,0,0
37900,30013,0,0
38000,33215,0,0
38100,28594,0,0
38200,27965,0,0
38300,31030,0,0
38400,29022,0,0
38500,28597,0,0
38600,28958,0,0
38700,28972,0,0
38800,28342,0,0
38900,28270,0,0
39000,29074,0,0
39100,29319,0,0
39200,29558,0,0
39300,29832,0,0
39400,29735,0,0
39500,29790,0,0
39600,29443,0,0
39700,29314,0,0
39800,29260,0,0
39900,32471,0,0
40000,30731,0,0
40100,31504,0,0
40200,29610,0,0
40300,29825,0,0
40400,29685,0,0
40500,29851,0,0
40600,30109,0,0
40700,31933,0,0
40800,29994,0,0
40900,31708,0,0
41000,30587,0,0
41100,30322,0,0
41200,30442,0,0
41300,29694,0,0
41400,32035,0,0
41500,29980,0,0
41600,31297,0,0
41700,31672,0,0
41800,31091,0,0
41900,30987,0,0
42000,30760,0,0
42100,31537,0,0
42200,31176,0,0
42300,31112,0,0
42400,32920,0,0
42500,31563,0,0
42600,30841,0,0
42700,31929,0,0
42800,32976,0,0
42900,32201,0,0
43000,31589,0,0
43100,31200,0,0
43200,32080,0,0
43300,33428,0,0
43400,32704,0,0
43500,35859,0,0
43600,37940,0,0
43700,33257,0,0
43800,32352,0,0
43900,32182,0,0
44000,32506,0,0
44100,32400,0,0
44200,32122,0,0
44300,32175,0,0
44400,32153,0,0
44500,32097,0,0
44600,32641,0,0
44700,32137,0,0
44800,32912,0,0
44900,33166,0,0
45000,33087,0,0
45100,32651,0,0
45200,34539,0,0
45300,32972,0,0
45400,32721,0,0
45500,33568,0,0
45600,33116,0,0
45700,33614,0,0
45800,33411,0,0
45900,34166,0,0
46000,33398,0,0
46100,33641,0,0
46200,34636,0,0
46300,33929,0,0
46400,34833,0,0
46500,34603,0,0
46600,36644,0,0
46700,34659,0,0
46800,35284,0,0
46900,34700,0,0
